design,n_groups,coef_var,tests_per_group,n_tested_for_sensitivity,n_tested_for_specificity,prev,sensitivity,specificity,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
54,50,0.01980434272814637,200,60,300,0.005,0.95,1,0.75,uniform,38,0.006577779190098865,1
55,50,0.01980434272814637,200,60,300,0.05,0.95,0.75,0.75,high,38,0.06524402884402473,1
56,50,0.01980434272814637,200,60,300,0.05,0.95,0.75,0.75,low,38,0.06631085434767169,1
57,50,0.01980434272814637,200,60,300,0.05,0.95,0.75,0.75,uniform,38,0.06577779190098865,1
58,50,0.01980434272814637,200,60,300,0.05,0.95,0.8,0.75,high,38,0.06524402884402473,2
59,50,0.01980434272814637,200,60,300,0.05,0.95,0.8,0.75,low,38,0.06631085434767169,2
60,50,0.01980434272814637,200,60,300,0.05,0.95,0.8,0.75,uniform,38,0.06577779190098865,2
61,50,0.01980434272814637,200,60,300,0.05,0.95,0.85,0.75,high,38,0.06524402884402473,2
62,50,0.01980434272814637,200,60,300,0.05,0.95,0.85,0.75,low,38,0.06631085434767169,2
63,50,0.01980434272814637,200,60,300,0.05,0.95,0.85,0.75,uniform,38,0.06577779190098865,2
64,50,0.01980434272814637,200,60,300,0.05,0.95,0.9,0.75,high,38,0.06524402884402473,2
65,50,0.01980434272814637,200,60,300,0.05,0.95,0.9,0.75,low,38,0.06631085434767169,2
66,50,0.01980434272814637,200,60,300,0.05,0.95,0.9,0.75,uniform,38,0.06577779190098865,2
67,50,0.01980434272814637,200,60,300,0.05,0.95,0.95,0.75,high,38,0.06524402884402473,2
68,50,0.01980434272814637,200,60,300,0.05,0.95,0.95,0.75,low,38,0.06631085434767169,2
69,50,0.01980434272814637,200,60,300,0.05,0.95,0.95,0.75,uniform,38,0.06577779190098865,2
70,50,0.01980434272814637,200,60,300,0.05,0.95,1,0.75,high,38,0.06524402884402473,2
71,50,0.01980434272814637,200,60,300,0.05,0.95,1,0.75,low,38,0.06631085434767169,2
72,50,0.01980434272814637,200,60,300,0.05,0.95,1,0.75,uniform,38,0.06577779190098865,2
73,50,0.026810684593053406,200,60,300,0.005,0.95,0.75,0.75,high,38,0.006507799192731871,2
74,50,0.026810684593053406,200,60,300,0.005,0.95,0.75,0.75,low,38,0.006652238152271341,2
75,50,0.026810684593053406,200,60,300,0.005,0.95,0.75,0.75,uniform,38,0.0065812875703497265,2
76,50,0.026810684593053406,200,60,300,0.005,0.95,0.8,0.75,high,38,0.006507799192731871,2
77,50,0.026810684593053406,200,60,300,0.005,0.95,0.8,0.75,low,38,0.006652238152271341,2
78,50,0.026810684593053406,200,60,300,0.005,0.95,0.8,0.75,uniform,38,0.0065812875703497265,2
79,50,0.026810684593053406,200,60,300,0.005,0.95,0.85,0.75,high,38,0.006507799192731871,2
80,50,0.026810684593053406,200,60,300,0.005,0.95,0.85,0.75,low,38,0.006652238152271341,2
81,50,0.026810684593053406,200,60,300,0.005,0.95,0.85,0.75,uniform,38,0.0065812875703497265,2
82,50,0.026810684593053406,200,60,300,0.005,0.95,0.9,0.75,high,38,0.006507799192731871,2
83,50,0.026810684593053406,200,60,300,0.005,0.95,0.9,0.75,low,38,0.006652238152271341,2
84,50,0.026810684593053406,200,60,300,0.005,0.95,0.9,0.75,uniform,38,0.0065812875703497265,2
85,50,0.026810684593053406,200,60,300,0.005,0.95,0.95,0.75,high,38,0.006507799192731871,2
86,50,0.026810684593053406,200,60,300,0.005,0.95,0.95,0.75,low,38,0.006652238152271341,2
