design,n_groups,coef_var,tests_per_group,prev,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
40,50,0.03952868137522828,200,0.05,0.25,high,12,0.19798201869815815,1
41,50,0.03952868137522828,200,0.05,0.25,low,12,0.2189832722794003,1
42,50,0.03952868137522828,200,0.05,0.25,uniform,12,0.2081899262675237,1
43,50,0.03952868137522828,200,0.05,0.5,high,25,0.09690968003323171,2
44,50,0.03952868137522828,200,0.05,0.5,low,25,0.10329390433336899,2
45,50,0.03952868137522828,200,0.05,0.5,uniform,25,0.09995371784201315,2
46,50,0.03952868137522828,200,0.05,0.75,high,38,0.06479436376321587,2
47,50,0.03952868137522828,200,0.05,0.75,low,38,0.06689394442644617,2
48,50,0.03952868137522828,200,0.05,0.75,uniform,38,0.06576970588908666,2
49,50,0.05360602843771107,200,0.05,0.1,high,5,0.4559229178080452,2
50,50,0.05360602843771107,200,0.05,0.1,low,5,0.5523093339669708,2
51,50,0.05360602843771107,200,0.05,0.1,uniform,5,0.5003841206223962,2
52,50,0.05360602843771107,200,0.05,0.25,high,12,0.19545049901932884,2
53,50,0.05360602843771107,200,0.05,0.25,low,12,0.22387806677924954,2
54,50,0.05360602843771107,200,0.05,0.25,uniform,12,0.20825298159225478,2
55,50,0.05360602843771107,200,0.05,0.5,high,25,0.096213713373042,2
56,50,0.05360602843771107,200,0.05,0.5,low,25,0.10409649685191352,2
57,50,0.05360602843771107,200,0.05,0.5,uniform,25,0.1000433594299937,2
58,50,0.05360602843771107,200,0.05,0.75,high,38,0.06437789162432964,2
59,50,0.05360602843771107,200,0.05,0.75,low,38,0.06718797815652579,2
60,50,0.05360602843771107,200,0.05,0.75,uniform,38,0.06587332488241619,2
61,50,0.053236976722873884,200,0.05,0.1,high,5,0.4588553902900969,2
62,50,0.053236976722873884,200,0.05,0.1,low,5,0.5521074817714318,2
63,50,0.053236976722873884,200,0.05,0.1,uniform,5,0.5001052362140358,2
64,50,0.053236976722873884,200,0.05,0.25,high,12,0.19517456082477647,2
65,50,0.053236976722873884,200,0.05,0.25,low,12,0.22379338818790442,2
66,50,0.053236976722873884,200,0.05,0.25,uniform,12,0.2083483502616116,2
67,50,0.053236976722873884,200,0.05,0.5,high,25,0.09611048302529407,2
68,50,0.053236976722873884,200,0.05,0.5,low,25,0.10421760597538346,2
69,50,0.053236976722873884,200,0.05,0.5,uniform,25,0.10001895414766213,2
70,50,0.053236976722873884,200,0.05,0.75,high,38,0.06438489706695294,2
71,50,0.053236976722873884,200,0.05,0.75,low,38,0.06722064792754885,2
72,50,0.053236976722873884,200,0.05,0.75,uniform,38,0.06582627917712239,2
73,50,0.07663179162838905,200,0.05,0.1,high,5,0.4396551824170004,2
74,50,0.07663179162838905,200,0.05,0.1,low,5,0.5690984619708563,2
75,50,0.07663179162838905,200,0.05,0.1,uniform,5,0.5022092598728528,2
