design,method,lower_error_freq,upper_error_freq,coverage
31,AC,0.0279,0.0178,0.9543
31,CP,0.0219,0.0178,0.9603
31,wspoissonTest,0.0219,0.0178,0.9603
31,wspoissonTest_midp,0.0219,0.025,0.9531
32,AC,0.025,0.0186,0.9564
32,CP,0.0234,0.0186,0.958
32,wspoissonTest,0.0241,0.0186,0.9573
32,wspoissonTest_midp,0.0246,0.0199,0.9555
33,AC,0.0289,0.018,0.9531
33,CP,0.0236,0.0209,0.9555
33,wspoissonTest,0.0236,0.0199,0.9565
33,wspoissonTest_midp,0.0239,0.0223,0.9538
34,AC,0.0262,0.0218,0.952
34,CP,0.0199,0.0218,0.9583
34,wspoissonTest,0.0199,0.0218,0.9583
34,wspoissonTest_midp,0.026,0.0237,0.9503
35,AC,0.0289,0.018,0.9531
35,CP,0.0218,0.0183,0.9599
35,wspoissonTest,0.0218,0.0181,0.9601
35,wspoissonTest_midp,0.0276,0.0264,0.946
36,AC,0.0262,0.0194,0.9544
36,CP,0.0208,0.0218,0.9574
36,wspoissonTest,0.0208,0.0211,0.9581
36,wspoissonTest_midp,0.0213,0.023,0.9557
37,AC,0.0109,0.0091,0.98
37,CP,0.0079,0.0091,0.983
37,wspoissonTest,0.0079,0.0091,0.983
37,wspoissonTest_midp,0.0109,0.0141,0.975
38,AC,0.0167,0.0086,0.9747
38,CP,0.0116,0.0086,0.9798
38,wspoissonTest,0.0116,0.0086,0.9798
38,wspoissonTest_midp,0.0116,0.015,0.9734
39,AC,0.0122,0.0116,0.9762
39,CP,0.0122,0.0116,0.9762
39,wspoissonTest,0.0122,0.0116,0.9762
39,wspoissonTest_midp,0.0122,0.0116,0.9762
40,AC,0.0164,0.013,0.9706
40,CP,0.0117,0.013,0.9753
40,wspoissonTest,0.0117,0.013,0.9753
40,wspoissonTest_midp,0.0164,0.0208,0.9628
41,AC,0.0157,0.0128,0.9715
41,CP,0.0156,0.0139,0.9705
41,wspoissonTest,0.0157,0.0135,0.9708
41,wspoissonTest_midp,0.0157,0.0196,0.9647
42,AC,0.0195,0.0163,0.9642
42,CP,0.0172,0.0175,0.9653
42,wspoissonTest,0.0172,0.0171,0.9657
42,wspoissonTest_midp,0.0172,0.0175,0.9653
43,AC,0.0268,0.0219,0.9513
43,CP,0.0186,0.0219,0.9595
43,wspoissonTest,0.0186,0.0218,0.9596
43,wspoissonTest_midp,0.0187,0.0219,0.9594
44,AC,0.0239,0.0225,0.9536
44,CP,0.0174,0.0225,0.9601
44,wspoissonTest,0.0174,0.0225,0.9601
44,wspoissonTest_midp,0.0239,0.0225,0.9536
