design,n_groups,coef_var,tests_per_group,prev,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
32,50,0.01980434272814637,200,0.005,0.5,low,25,0.00984382260038616,1
33,50,0.01980434272814637,200,0.005,0.5,uniform,25,0.00999307428089369,1
34,50,0.01980434272814637,200,0.005,0.75,high,38,0.006631085434767168,1
35,50,0.01980434272814637,200,0.005,0.75,low,38,0.006524402884402473,1
36,50,0.01980434272814637,200,0.005,0.75,uniform,38,0.006577779190098865,1
37,50,0.026810684593053406,200,0.005,0.02,high,1,0.26503647797917224,1
38,50,0.026810684593053406,200,0.005,0.02,low,1,0.23601132403921676,1
39,50,0.026810684593053406,200,0.005,0.02,uniform,1,0.2502314931517211,1
40,50,0.026810684593053406,200,0.005,0.05,high,2,0.13230391141711226,1
41,50,0.026810684593053406,200,0.005,0.05,low,2,0.11866358989327866,1
42,50,0.026810684593053406,200,0.005,0.05,uniform,2,0.12510371158485073,1
43,50,0.026810684593053406,200,0.005,0.1,high,5,0.05249215873361309,1
44,50,0.026810684593053406,200,0.005,0.1,low,5,0.04784710732569009,1
45,50,0.026810684593053406,200,0.005,0.1,uniform,5,0.05000436559001692,1
46,50,0.026810684593053406,200,0.005,0.25,high,12,0.02158045721241191,1
47,50,0.026810684593053406,200,0.005,0.25,low,12,0.020130990629669446,1
48,50,0.026810684593053406,200,0.005,0.25,uniform,12,0.02083052035930756,1
49,50,0.026810684593053406,200,0.005,0.5,high,25,0.010216294005617205,1
50,50,0.026810684593053406,200,0.005,0.5,low,25,0.00979267464086161,1
51,50,0.026810684593053406,200,0.005,0.5,uniform,25,0.01000035611064148,1
52,50,0.026810684593053406,200,0.005,0.75,high,38,0.006652238152271341,1
53,50,0.026810684593053406,200,0.005,0.75,low,38,0.006507799192731871,1
54,50,0.026810684593053406,200,0.005,0.75,uniform,38,0.0065812875703497265,2
55,50,0.03952868137522828,200,0.005,0.02,high,1,0.27357578002554694,2
56,50,0.03952868137522828,200,0.005,0.02,low,1,0.23247931242787437,2
57,50,0.03952868137522828,200,0.005,0.02,uniform,1,0.25143110935203417,2
58,50,0.03952868137522828,200,0.005,0.05,high,2,0.13642664757263823,2
59,50,0.03952868137522828,200,0.005,0.05,low,2,0.1162707113626877,2
60,50,0.03952868137522828,200,0.005,0.05,uniform,2,0.12508717629597646,2
61,50,0.03952868137522828,200,0.005,0.1,high,5,0.05382330386704125,2
62,50,0.03952868137522828,200,0.005,0.1,low,5,0.04692384388492205,2
63,50,0.03952868137522828,200,0.005,0.1,uniform,5,0.049978271357298806,2
64,50,0.03952868137522828,200,0.005,0.25,high,12,0.02189832722794003,2
65,50,0.03952868137522828,200,0.005,0.25,low,12,0.019798201869815815,2
66,50,0.03952868137522828,200,0.005,0.25,uniform,12,0.020818992626752367,2
67,50,0.03952868137522828,200,0.005,0.5,high,25,0.010329390433336898,2
68,50,0.03952868137522828,200,0.005,0.5,low,25,0.009690968003323171,2
69,50,0.03952868137522828,200,0.005,0.5,uniform,25,0.009994952827539306,2
70,50,0.03952868137522828,200,0.005,0.75,high,38,0.006689394442644616,2
71,50,0.03952868137522828,200,0.005,0.75,low,38,0.006479436376321587,2
72,50,0.03952868137522828,200,0.005,0.75,uniform,38,0.0065769705889086654,2
73,50,0.05360602843771107,200,0.005,0.02,high,1,0.28159547834151166,2
74,50,0.05360602843771107,200,0.005,0.02,low,1,0.21361310543983353,2
75,50,0.05360602843771107,200,0.005,0.02,uniform,1,0.24844346324599445,2
76,50,0.05360602843771107,200,0.005,0.05,high,2,0.14024942689156863,2
77,50,0.05360602843771107,200,0.005,0.05,low,2,0.11063598731616485,2
78,50,0.05360602843771107,200,0.005,0.05,uniform,2,0.12537982632711522,2
79,50,0.05360602843771107,200,0.005,0.1,high,5,0.055230933396697074,2
80,50,0.05360602843771107,200,0.005,0.1,low,5,0.045592291780804525,2
81,50,0.05360602843771107,200,0.005,0.1,uniform,5,0.05002009443957079,2
82,50,0.05360602843771107,200,0.005,0.25,high,12,0.022387806677924952,2
83,50,0.05360602843771107,200,0.005,0.25,low,12,0.019545049901932884,2
84,50,0.05360602843771107,200,0.005,0.25,uniform,12,0.02082529815922548,2
85,50,0.05360602843771107,200,0.005,0.5,high,25,0.010409649685191352,2
86,50,0.05360602843771107,200,0.005,0.5,low,25,0.0096213713373042,2
87,50,0.05360602843771107,200,0.005,0.5,uniform,25,0.010003603513514136,2
88,50,0.05360602843771107,200,0.005,0.75,high,38,0.00671879781565258,2
89,50,0.05360602843771107,200,0.005,0.75,low,38,0.006437789162432964,2
90,50,0.05360602843771107,200,0.005,0.75,uniform,38,0.006587332488241619,2
91,50,0.053236976722873884,200,0.005,0.02,high,1,0.28302910145030635,2
92,50,0.053236976722873884,200,0.005,0.02,low,1,0.218680383307871,2
93,50,0.053236976722873884,200,0.005,0.02,uniform,1,0.25161971606418304,2
94,50,0.053236976722873884,200,0.005,0.05,high,2,0.1404865784165805,2
95,50,0.053236976722873884,200,0.005,0.05,low,2,0.11211581651695299,2
96,50,0.053236976722873884,200,0.005,0.05,uniform,2,0.1243406562532607,2
