design,method,conf_int_1,conf_int_2,width,lower_error_freq,upper_error_freq,coverage
20858,wspoissonTest_midp,0.001025954173907538,0.029698481852521774,0.028672527678614237,0.019,0,0.981
20859,AC,0.0016454893724785547,0.01260421688248898,0.010958727510010424,0.0036,0.0678,0.9286
20859,CP,0.0015450666171401253,0.012144769571402392,0.010599702954262265,9e-4,0.0759,0.9232
20859,wspoissonTest,0.0015496833144600683,0.033208880036815595,0.03165919672235552,9e-4,0,0.9991
20859,wspoissonTest_midp,0.0017058314798720818,0.028580545405352247,0.026874713925480166,0.0031,0,0.9969
20860,AC,7.928102436242085e-4,0.016466785911001394,0.015673975667377188,0.0137,0.0665,0.9198
20860,CP,0.0010339533371597994,0.015503912818574451,0.01446995948141465,0.0092,0.0821,0.9087
20860,wspoissonTest,0.0010400642820581054,0.03418831599446042,0.033148251712402314,0.0093,0,0.9907
20860,wspoissonTest_midp,0.0012582234104082514,0.02931713513397613,0.028058911723567878,0.0176,0,0.9824
20861,AC,0.0015220922204785413,0.013064185848496411,0.01154209362801787,0.0089,0.087,0.9041
20861,CP,0.0014591798289779803,0.012545108514398311,0.011085928685420332,0.0045,0.0965,0.899
20861,wspoissonTest,0.001464134142505481,0.033366634879155484,0.031902500736650005,0.0045,0,0.9955
20861,wspoissonTest_midp,0.001631483355532137,0.028687741735452958,0.027056258379920824,0.0086,0,0.9914
20862,AC,0.0011688128402623636,0.014669108003211206,0.013500295162948841,0.0145,0.0859,0.8996
20862,CP,0.0012316653498965701,0.013951417346964059,0.012719751997067489,0.009,0.1007,0.8903
20862,wspoissonTest,0.0012373773988260538,0.03380260595009902,0.032565228551272966,0.0098,0,0.9902
20862,wspoissonTest_midp,0.0014377113643281628,0.029023757021880477,0.027586045657552315,0.0168,0,0.9832
20863,AC,0.0014784092182497347,0.013252307234207563,0.011773898015957828,0.0107,0.1056,0.8837
20863,CP,0.001430670582143282,0.012710539830309333,0.011279869248166052,0.0059,0.1173,0.8768
20863,wspoissonTest,0.0014358272553710058,0.03345708235135405,0.032021255095983046,0.0061,0,0.9939
20863,wspoissonTest_midp,0.0016072467989611428,0.028755848754277977,0.027148601955316834,0.0108,0,0.9892
20864,AC,0.0013886962495855552,0.013781327194578696,0.012392630944993141,0.0135,0.1123,0.8742
20864,CP,0.001375268568493858,0.01318260809479801,0.011807339526304153,0.0078,0.1221,0.8701
20864,wspoissonTest,0.0013807177904680184,0.03364103667663931,0.03226031888617129,0.0081,0,0.9919
20864,wspoissonTest_midp,0.0015609395399740842,0.028913462168108778,0.02735252262813469,0.0146,0,0.9854
20865,AC,0.0014154123722759863,0.013496587418840052,0.012081175046564065,0.0117,0.1095,0.8788
20865,CP,0.0013861656004790365,0.012924379634803859,0.011538214034324822,0.0078,0.1205,0.8717
20865,wspoissonTest,0.001391423799570012,0.03352383162264585,0.03213240782307584,0.0078,0,0.9922
